# Generated from https://github.com/v2fly/domain-list-community/tree/master/data/bytedance

DOMAIN,p16-tiktokcdn-com.akamaized.net
DOMAIN-SUFFIX,365yg.com
DOMAIN-SUFFIX,99uri.cn
DOMAIN-SUFFIX,99uri.com
DOMAIN-SUFFIX,activity-dy.com
DOMAIN-SUFFIX,activity-wbsj.com
DOMAIN-SUFFIX,activity-zhendingtech.com
DOMAIN-SUFFIX,activity01.com
DOMAIN-SUFFIX,activity02.com
DOMAIN-SUFFIX,activity03.com
DOMAIN-SUFFIX,activity04.com
DOMAIN-SUFFIX,activity05.com
DOMAIN-SUFFIX,activitybyte.com
DOMAIN-SUFFIX,aigc-cloud.com
DOMAIN-SUFFIX,aihst8.com
DOMAIN-SUFFIX,ali-api-test.net
DOMAIN-SUFFIX,ali-gtm-01.net
DOMAIN-SUFFIX,ali-gtm-pressure.com
DOMAIN-SUFFIX,ali-restore.net
DOMAIN-SUFFIX,amemv.cn
DOMAIN-SUFFIX,amemv.com
DOMAIN-SUFFIX,amemv.net
DOMAIN-SUFFIX,arco.design
DOMAIN-SUFFIX,awemeughun.com
DOMAIN-SUFFIX,awemeuglang.com
DOMAIN-SUFFIX,awemeugsoul.com
DOMAIN-SUFFIX,awemeugwave.com
DOMAIN-SUFFIX,baike.com
DOMAIN-SUFFIX,baikevod.com
DOMAIN-SUFFIX,bcy.net
DOMAIN-SUFFIX,bcyimg.com
DOMAIN-SUFFIX,bdactivity.com
DOMAIN-SUFFIX,bdegnine.com
DOMAIN-SUFFIX,bdgslb.com
DOMAIN-SUFFIX,bdispatch.com
DOMAIN-SUFFIX,bdispatch.net
DOMAIN-SUFFIX,bdns-api-test.net
DOMAIN-SUFFIX,bdns-boe.com
DOMAIN-SUFFIX,bdns-boe.net
DOMAIN-SUFFIX,bdns-gtm-01.net
DOMAIN-SUFFIX,bdns-gtm-pressure.com
DOMAIN-SUFFIX,bdns-restore.net
DOMAIN-SUFFIX,bdns-test.com
DOMAIN-SUFFIX,bdns-test.net
DOMAIN-SUFFIX,bdppe.net
DOMAIN-SUFFIX,bdsagslb.com
DOMAIN-SUFFIX,bdsagslbtest.com
DOMAIN-SUFFIX,bdxiguaimg.com
DOMAIN-SUFFIX,bdxigualive.com
DOMAIN-SUFFIX,bdxiguastatic.com
DOMAIN-SUFFIX,bdxiguavod.com
DOMAIN-SUFFIX,bdzjdsagslb.com
DOMAIN-SUFFIX,betaband.net
DOMAIN-SUFFIX,betadance.net
DOMAIN-SUFFIX,betastar.cn
